gene,importance
LOC283392,0.0
ASAM,0.0
CIT,0.0
C10orf54,0.0
FAM122A,0.0
PAK3,0.0
KIF14,0.0
ZWINT,0.0
LOC572558,0.0
CDO1,0.0
TRHDE,0.0
GLRA4,0.0
MND1,0.0
KIF4A,0.0
AASS,0.0
HMGB3,0.0
RDM1,0.0
ARF1,0.0
ZFP36,0.0
SLC12A8,0.0
FAM196B,0.0
C21orf34,0.0
CREB5,0.0
CDH20,0.0
ACSM5,0.0
GPAM,0.0
KLHL13,0.0
SH3GLB1,0.0
SSX2IP,0.0
AADAC,0.0
LOC401093,0.0
TNS1,0.0
TACC3,0.0
TACC1,0.0
FZD4,0.0
RASSF9,0.0
LOC642597,0.0
LSM4,0.0
SRPX,0.0
BMP6,0.0
MYH11,0.0
KANK3,0.0
RGS6,0.0
ECM2,0.0
CKMT2,0.0
OXTR,0.0
CDC25C,0.0
JAM2,0.0
SNRNP25,0.0
N4BP2L1,0.0
CXCL12,0.0
B3GALT1,0.0
TOR3A,0.0
BUB1B,0.0
PPAP2A,0.0
PCDH9,0.0
ESCO2,0.0
D4S234E,0.0
MKI67,0.0
KIF20A,0.0
RGL1,0.0
LIMS2,0.0
CEP55,0.0
CDK5,0.0
CDK1,0.0
HOXA7,0.0
HAS3,0.0
FANCI,0.0
STXBP2,0.0
DEPDC1,0.0
KPNA2,0.0
NR3C2,0.0
PDE1C,0.0
ERG,0.0
MMD,0.0
DTX1,0.0
LOC728264,0.0
PENK,0.0
PROKR1,0.0
UBE2T,0.0
UBE2S,0.0
UBE2C,0.0
FAM162B,0.0
ABCA10,0.0
RGN,0.0
ROBO4,0.0
SORBS1,0.0
LOC339524,0.0
TYMS,0.0
PAQR4,0.0
PYGO2,0.0
RAB8A,0.0
USP44,0.0
SYNPO2,0.0
NACC1,0.0
AOC2,0.0
AOC3,0.0
CRIM1,0.0
C10orf108,0.0
SDS,0.0
HAGHL,0.0
NFKBIL2,0.0
MTMR10,0.0
BHMT2,0.0
C16orf59,0.0
SLC17A7,0.0
NUP210,0.0
ATOH8,0.0
FAM70A,0.0
CDC45,0.0
FAM64A,0.0
AKAP6,0.0
FOXN3,0.0
MYH1,0.0
SPHKAP,0.0
TMEM37,0.0
BIRC5,0.0
CAT,0.0
PPEF1,0.0
VWF,0.0
NBLA00301,0.0
SAMD14,0.0
GDF10,0.0
C14orf49,0.0
SHCBP1,0.0
ARHGEF15,0.0
SH3D19,0.0
ANLN,0.0
TDRD10,0.0
FERMT2,0.0
C17orf91,0.0
HSPB2,0.0
PROS1,0.0
HSPB7,0.0
DMRT2,0.0
NLGN1,0.0
C10orf128,0.0
KIFC1,0.0
PAFAH1B3,0.0
VAMP3,0.0
FBLN5,0.0
RPE65,0.0
GHR,0.0
CA3,0.0
AP1S1,0.0
ANKRD53,0.0
NFAT5,0.0
KCTD12,0.0
PDE7B,0.0
TSPAN7,0.0
MYCT1,0.0
KIAA0408,0.0
PRRT4,0.0
TAL1,0.0
MYOM1,0.0
ESR2,0.0
GIMAP8,0.0
LOC134466,0.0
LRRC2,0.0
MOSC1,0.0
GYPC,0.0
PLEKHM3,0.0
IGSF10,0.0
MMP1,0.0
C1QTNF6,0.0
C1QTNF9,0.0
MLXIPL,0.0
KCNJ16,0.0
ZC3H12B,0.0
RRM2,0.0
GLP2R,0.0
ARHGAP11A,0.0
MESTIT1,0.0
PAPPA2,0.0
SEMA3G,0.0
RNASEH2A,0.0
LGALS12,0.0
TIMELESS,0.0
VWCE,0.0
MYOC,0.0
SSTR1,0.0
LOC55908,0.0
NMT2,0.0
ASPA,0.0
CLCA4,0.0
CIDEA,0.0
C16orf53,0.0
CCT3,0.0
PRR19,0.0
BAI3,0.0
ABCB5,0.0
CXorf36,0.0
SCN9A,0.0
GRIA4,0.0
CENPM,0.0
ATP6V0B,0.0
WHAMML2,0.0
AKR1C3,0.0
AKR1C2,0.0
AKR1C1,0.0
GABRA4,0.0
FABP4,0.0
NEIL3,0.0
MAOA,0.0
PIK3R2,0.0
PTBP1,0.0
CASP12,0.0
FAM180B,0.0
ANTXR2,0.0
SH3BGRL2,0.0
TRPM3,0.0
MAML2,0.0
NCAPH,0.0
CNN1,0.0
RSPO3,0.0
ADH1A,0.0
ADH1B,0.0
ADH1C,0.0
CCDC85A,0.0
TACR1,0.0
CYP2U1,0.0
ST6GALNAC3,0.0
UTS2D,0.0
ABCD2,0.0
LETMD1,0.0
RCC2,0.0
RCC1,0.0
PDGFD,0.0
AQP7P1,0.0
AQP7P3,0.0
LOC286367,0.0
FAM83H,0.0
TK2,0.0
HDGF,0.0
RELN,0.0
ESRP1,0.0
GFAP,0.0
CDCA8,0.0
CDCA5,0.0
CDCA3,0.0
TSHZ2,0.0
HOXA2,0.0
HOXA4,0.0
HOXA5,0.0
PFKFB1,0.0
ADH4,0.0
ADH5,0.0
HELLS,0.0
SPC25,0.0
C3orf55,0.0
C3orf50,0.0
ASF1B,0.0
BMP2,0.0
BMP3,0.0
CDCA2,0.0
PTTG1,0.0
LRRC70,0.0
FOXM1,0.0
PPP2R1B,0.0
FBXO40,0.0
GINS1,0.0
GINS2,0.0
EGR1,0.0
BMP8A,0.0
ARHGAP39,0.0
SLC16A7,0.0
NPY2R,0.0
NEK2,0.0
C20orf194,0.0
BMPER,0.0
LRRC3B,0.0
CD302,0.0
TMEM100,0.0
GTSE1,0.0
SSPN,0.0
PELI2,0.0
TGFBR2,0.0
DCUN1D3,0.0
CCNF,0.0
PACSIN1,0.0
KCNMB1,0.0
COL6A6,0.0
PGA3,0.0
LOC201651,0.0
TMEM195,0.0
NUF2,0.0
CAPZA3,0.0
AADACL2,0.0
SCN5A,0.0
DST,0.0
MYBL2,0.0
GOLGA9P,0.0
CCDC141,0.0
AP1M2,0.0
NKAPL,0.0
LOC148145,0.0
RERGL,0.0
TEF,0.0
FREM1,0.0
HEPN1,0.0
TRIM11,0.0
GPR133,0.0
GPIHBP1,0.0
MYOCD,0.0
LOC388387,0.0
DNAJB4,0.0
SAMD5,0.0
FGFBP2,0.0
EIF3L,0.0
KIAA1239,0.0
KIF18B,0.0
KIF18A,0.0
C4orf49,0.0
CCDC69,0.0
CCDC64,0.0
SLC19A3,0.0
DSC1,0.0
PKMYT1,0.0
HEPACAM,0.0
ANXA1,0.0
RBMS3,0.0
GSTM5,0.0
COMP,0.0
CLEC1A,0.0
TANK,0.0
EPB42,0.0
CLSPN,0.0
RCBTB2,0.0
PID1,0.0
HPSE2,0.0
P4HA3,0.0
SYNPO,0.0
PPP1R1A,0.0
RAD54L,0.0
STAT5B,0.0
CCL16,0.0
CCL14,0.0
CCL11,0.0
FAM150B,0.0
CDC20,0.0
SQLE,0.0
PGM5,0.0
TDO2,0.0
GNAI1,0.0
IL33,0.0
PEAR1,0.0
PYGM,0.0
LMOD1,0.0
LEPR,0.0
P2RY12,0.0
C6orf129,0.0
C14orf180,0.0
LRRN3,0.0
GPR112,0.0
ANGPTL1,0.0
ANGPTL5,0.0
ANGPTL7,0.0
CCNB2,0.0
IQGAP3,0.0
CKAP2L,0.0
FBXW7,0.0
FAM107A,0.0
C11orf87,0.0
MRGPRX2,0.0
SKA1,0.0
SPRY1,0.0
CCDC46,0.0
MCM2,0.0
HSD17B13,0.0
BUB1,0.0
CSRNP1,0.0
LOC647309,0.0
CSF3,0.0
LOC90586,0.0
MMRN1,0.0
IL11RA,0.0
LOC145820,0.0
RUSC1,0.0
CDC14B,0.0
CDC14C,0.0
DDX39,0.0
EHBP1,0.0
C16orf88,0.0
RNF186,0.0
ACSM2B,0.0
ACSM2A,0.0
TNMD,0.0
SVEP1,0.0
CCNB1,0.0
HOXA6,0.0
ACVR1C,0.0
RXRG,0.0
SOD3,0.0
CDKN3,0.0
PCOLCE2,0.0
EMP1,0.0
KCNB1,0.0
SCTR,0.0
ASPM,0.0
PAMR1,0.0
SBDS,0.0
KIAA1199,0.0
RTKN2,0.0
SCN2B,0.0
PDK4,0.0
OLR1,0.0
RHPN1,0.0
C14orf139,0.0
LOC729467,0.0
HN1,0.0
ERCC6L,0.0
EIF2AK1,0.0
GALNTL2,0.0
NDC80,0.0
THSD1,0.0
SPC24,0.0
TLCD1,0.0
SCARA5,0.0
MAB21L1,0.0
PRC1,0.0
FAM89A,0.0
DCT,0.0
WDR62,0.0
CHRDL1,0.0
TRIM59,0.0
STX12,0.0
KLHL29,0.0
HMMR,0.0
SOX17,0.0
OR10A3,0.0
SLC25A27,0.0
SLC25A22,0.0
CLEC4G,0.0
CKS2,0.0
CBX3,0.0
CBX4,0.0
CBX7,0.0
KIF11,0.0
KIF15,0.0
PDZD2,0.0
MRAP,0.0
LPL,0.0
METTL7A,0.0
TEPP,0.0
ZNF668,0.0
ITSN1,0.0
SPINT2,0.0
UGP2,0.0
BCL2L2,0.0
PARP1,0.0
EIF4EBP2,0.0
NRG2,0.0
PLK1,0.0
STK32A,0.0
GPD1,0.0
SGK2,0.0
APOA1BP,0.0
KCTD4,0.0
KCTD5,0.0
KIAA0101,0.0
ESPL1,0.0
DNASE1L3,0.0
TTK,0.0
GPRASP1,0.0
GPRASP2,0.0
IQSEC3,0.0
CRB3,0.0
LIFR,0.0
HJURP,0.0
NNAT,0.0
C2orf88,0.0
EHD2,0.0
CPA1,0.0
C7orf41,0.0
SCAMP3,0.0
NME1,0.0
CD34,0.0
MMRN2,0.0
PITX1,0.0
C2orf84,0.0
PLIN1,0.0
GPR116,0.0
FANCD2,0.0
POLQ,0.0
SLC16A12,0.0
PLIN4,0.0
ASB1,0.0
MLF1IP,0.0
SEL1L2,0.0
RDH5,0.0
DMD,0.0
SCN11A,0.0
KRTAP13-4,0.0
HNRNPAB,0.0
ALDH1A2,0.0
ALDH1A1,0.0
ADRB2,0.0
TMEM206,0.0
ADAMTS14,0.0
OVCH2,0.0
CX3CL1,0.0
PYCRL,0.0
ECSCR,0.0
ACADL,0.0
POLR3K,0.0
APCDD1,0.0
C16orf75,0.0
MOCS1,0.0
KLB,0.0
MPL,0.0
ITM2A,0.0
ANKRD29,0.0
ACO1,0.0
WISP1,0.0
FEN1,0.0
ACSL1,0.0
LPHN3,0.0
GALR1,0.0
PALM2-AKAP2,0.0
DMGDH,0.0
FXYD1,0.0
HPD,0.0
TMEM220,0.0
KLF4,0.0
RBMS2,0.0
MCAM,0.0
PBK,0.0
GGTA1,0.0
RHOJ,0.0
PPARG,0.0
GRM8,0.0
ANO6,0.0
TROAP,0.0
DEPDC1B,0.0
KANK1,0.0
TGFBR3,0.0
SNCA,0.0
EPAS1,0.0
F12,0.0
GTF2IRD1,0.0
EXO1,0.0
CLCN6,0.0
OIP5,0.0
RABIF,0.0
DCTPP1,0.0
NCAPG,0.0
CCNA2,0.0
DLGAP5,0.0
KLF9,0.0
GYG2,0.0
CEP68,0.0
DPP6,0.0
DPP3,0.0
CUTC,0.0
SIK2,0.0
TIMM17A,0.0
EME1,0.0
MARCKSL1,0.0
PSRC1,0.0
FMO2,0.0
EPR1,0.0
DNAJC18,0.0
CNIH2,0.0
AMOTL2,0.0
ELMOD3,0.0
DLGAP2,0.0
GCOM1,0.0
PDE2A,0.0
PKD2,0.0
NCRNA00086,0.0
FAM83D,0.0
CSN1S1,0.0
LEP,0.0
PER1,0.0
RGS7BP,0.0
CNKSR2,0.0
SGCG,0.0
FAM54A,0.0
FGF1,0.0
FGF2,0.0
RNASE7,0.0
ZNF781,0.0
CENPK,0.0
RPLP0P2,0.0
ADAMTS1,0.0
FAM111B,0.0
ANK2,0.0
